"TIME","GEO","N_PERSON","Value"
"2010","Italy","1 person","30.3"
"2010","Italy","2 persons","26.8"
"2010","Italy","3 persons","20.3"
"2010","Italy","4 persons","17.3"
"2010","Italy","5 persons","4.2"
"2010","Italy","6 persons or more","1.1"
"2010","Cyprus","1 person","20.8"
"2010","Cyprus","2 persons","30.2"
"2010","Cyprus","3 persons","18.3"
"2010","Cyprus","4 persons","16.9"
"2010","Cyprus","5 persons","7.8"
"2010","Cyprus","6 persons or more","6.0"
"2010","Latvia","1 person","29.3"
"2010","Latvia","2 persons","28.6"
"2010","Latvia","3 persons","20.9"
"2010","Latvia","4 persons","12.9"
"2010","Latvia","5 persons","4.9"
"2010","Latvia","6 persons or more","3.5"
"2010","Lithuania","1 person","32.7"
"2010","Lithuania","2 persons","25.9"
"2010","Lithuania","3 persons","19.8"
"2010","Lithuania","4 persons","15.1"
"2010","Lithuania","5 persons","4.5"
"2010","Lithuania","6 persons or more","2.0"
"2010","Luxembourg","1 person","28.9"
"2010","Luxembourg","2 persons","27.8"
"2010","Luxembourg","3 persons","17.2"
"2010","Luxembourg","4 persons","19.1"
"2010","Luxembourg","5 persons","5.8"
"2010","Luxembourg","6 persons or more","1.3"
"2010","Hungary","1 person","23.9"
"2010","Hungary","2 persons","31.0"
"2010","Hungary","3 persons","20.1"
"2010","Hungary","4 persons","16.0"
"2010","Hungary","5 persons","6.1"
"2010","Hungary","6 persons or more","3.0"
"2010","Malta","1 person","21.5"
"2010","Malta","2 persons","27.2"
"2010","Malta","3 persons","21.3"
"2010","Malta","4 persons","20.5"
"2010","Malta","5 persons","6.6"
"2010","Malta","6 persons or more","2.9"
"2010","Netherlands","1 person","36.1"
"2010","Netherlands","2 persons","32.1"
"2010","Netherlands","3 persons","12.3"
"2010","Netherlands","4 persons","13.3"
"2010","Netherlands","5 persons","4.6"
"2010","Netherlands","6 persons or more","1.5"
"2010","Austria","1 person","36.0"
"2010","Austria","2 persons","28.6"
"2010","Austria","3 persons","16.0"
"2010","Austria","4 persons","12.5"
"2010","Austria","5 persons","5.0"
"2010","Austria","6 persons or more","1.9"
"2010","Poland","1 person","24.6"
"2010","Poland","2 persons","23.3"
"2010","Poland","3 persons","19.9"
"2010","Poland","4 persons","17.6"
"2010","Poland","5 persons","8.3"
"2010","Poland","6 persons or more","6.2"
"2010","Portugal","1 person","17.7"
"2010","Portugal","2 persons","30.6"
"2010","Portugal","3 persons","25.9"
"2010","Portugal","4 persons","18.2"
"2010","Portugal","5 persons","5.7"
"2010","Portugal","6 persons or more","1.9"
"2010","Romania","1 person","23.9"
"2010","Romania","2 persons","26.7"
"2010","Romania","3 persons","19.9"
"2010","Romania","4 persons","18.0"
"2010","Romania","5 persons","6.7"
"2010","Romania","6 persons or more","4.7"
"2010","Slovenia","1 person","27.0"
"2010","Slovenia","2 persons","26.5"
"2010","Slovenia","3 persons","18.7"
"2010","Slovenia","4 persons","20.6"
"2010","Slovenia","5 persons","5.3"
"2010","Slovenia","6 persons or more","1.9"
"2010","Slovakia","1 person","23.1"
"2010","Slovakia","2 persons","23.8"
"2010","Slovakia","3 persons","20.4"
"2010","Slovakia","4 persons","21.5"
"2010","Slovakia","5 persons","6.3"
"2010","Slovakia","6 persons or more","4.9"
"2010","Finland","1 person","39.6"
"2010","Finland","2 persons","34.8"
"2010","Finland","3 persons","10.9"
"2010","Finland","4 persons","9.6"
"2010","Finland","5 persons","3.7"
"2010","Finland","6 persons or more","1.4"
"2010","Sweden","1 person","41.1"
"2010","Sweden","2 persons","33.4"
"2010","Sweden","3 persons","10.6"
"2010","Sweden","4 persons","10.8"
"2010","Sweden","5 persons","3.1"
"2010","Sweden","6 persons or more","1.1"
"2010","United Kingdom","1 person","30.9"
