"N_PERSON","GEO","TIME","AGE","HHCOMP","UNIT","Value","Flag and Footnotes"
"2 persons","Germany (until 1990 former territory of the FRG)","2001","65 years or over","Total","Number","3,276,200",""
"2 persons","Estonia","2001","65 years or over","Total","Number","36,018",""
"2 persons","Ireland","2001","65 years or over","Total","Number","83,533",""
"2 persons","Greece","2001","65 years or over","Total","Number","395,202",""
"2 persons","Spain","2001","65 years or over","Total","Number","1,803,663",""
"2 persons","France","2001","65 years or over","Total","Number","2,337,705",""
"2 persons","Italy","2001","65 years or over","Total","Number","2,472,309",""
"2 persons","Cyprus","2001","65 years or over","Total","Number","20,622",""
"2 persons","Latvia","2001","65 years or over","Total","Number",":",""
"2 persons","Lithuania","2001","65 years or over","Total","Number","96,157",""
"2 persons","Luxembourg","2001","65 years or over","Total","Number","13,675",""
"2 persons","Hungary","2001","65 years or over","Total","Number","293,276",""
"2 persons","Netherlands","2001","65 years or over","Total","Number","468,064",""
"2 persons","Austria","2001","65 years or over","Total","Number","258,187",""
"2 persons","Poland","2001","65 years or over","Total","Number","980,087",""
"2 persons","Portugal","2001","65 years or over","Total","Number","423,618",""
"2 persons","Romania","2001","65 years or over","Total","Number","666,980",""
"2 persons","Slovenia","2001","65 years or over","Total","Number","59,333",""
"2 persons","Slovakia","2001","65 years or over","Total","Number","116,684",""
"2 persons","Finland","2001","65 years or over","Total","Number","162,018",""
"2 persons","United Kingdom","2001","65 years or over","Total","Number","2,084,021",""
"2 persons","Liechtenstein","2001","65 years or over","Total","Number","691",""
"2 persons","Norway","2001","65 years or over","Total","Number","151,356",""
"2 persons","Switzerland","2001","65 years or over","Total","Number","252,041",""
"3 persons","Bulgaria","2001","65 years or over","Total","Number",":",""
"3 persons","Czechia","2001","65 years or over","Total","Number","1,935",""
"3 persons","Denmark","2001","65 years or over","Total","Number","350",""
"3 persons","Germany (until 1990 former territory of the FRG)","2001","65 years or over","Total","Number","23,300",""
"3 persons","Estonia","2001","65 years or over","Total","Number","529",""
"3 persons","Ireland","2001","65 years or over","Total","Number","2,122",""
"3 persons","Greece","2001","65 years or over","Total","Number","9,326",""
"3 persons","Spain","2001","65 years or over","Total","Number","70,716",""
"3 persons","France","2001","65 years or over","Total","Number","39,219",""
"3 persons","Italy","2001","65 years or over","Total","Number","57,556",""
"3 persons","Cyprus","2001","65 years or over","Total","Number","315",""
"3 persons","Latvia","2001","65 years or over","Total","Number",":",""
"3 persons","Lithuania","2001","65 years or over","Total","Number","1,574",""
"3 persons","Luxembourg","2001","65 years or over","Total","Number","284",""
"3 persons","Hungary","2001","65 years or over","Total","Number","4,801",""
"3 persons","Netherlands","2001","65 years or over","Total","Number","2,026",""
"3 persons","Austria","2001","65 years or over","Total","Number","3,487",""
"3 persons","Poland","2001","65 years or over","Total","Number","12,998",""
"3 persons","Portugal","2001","65 years or over","Total","Number","13,011",""
"3 persons","Romania","2001","65 years or over","Total","Number","8,867",""
"3 persons","Slovenia","2001","65 years or over","Total","Number","1,194",""
"3 persons","Slovakia","2001","65 years or over","Total","Number","1,805",""
"3 persons","Finland","2001","65 years or over","Total","Number","1,649",""
"3 persons","United Kingdom","2001","65 years or over","Total","Number","18,361",""
"3 persons","Liechtenstein","2001","65 years or over","Total","Number","9",""
"3 persons","Norway","2001","65 years or over","Total","Number","499",""
"3 persons","Switzerland","2001","65 years or over","Total","Number","2,466",""
"4 persons","Bulgaria","2001","65 years or over","Total","Number",":",""
"4 persons","Czechia","2001","65 years or over","Total","Number",":",""
"4 persons","Denmark","2001","65 years or over","Total","Number",":",""
"4 persons","Germany (until 1990 former territory of the FRG)","2001","65 years or over","Total","Number","0",""
"4 persons","Estonia","2001","65 years or over","Total","Number",":",""
"4 persons","Ireland","2001","65 years or over","Total","Number",":",""
"4 persons","Greece","2001","65 years or over","Total","Number",":",""
"4 persons","Spain","2001","65 years or over","Total","Number",":",""
"4 persons","France","2001","65 years or over","Total","Number",":",""
"4 persons","Italy","2001","65 years or over","Total","Number",":",""
"4 persons","Cyprus","2001","65 years or over","Total","Number",":",""
"4 persons","Latvia","2001","65 years or over","Total","Number",":",""
"4 persons","Lithuania","2001","65 years or over","Total","Number",":",""
"4 persons","Luxembourg","2001","65 years or over","Total","Number",":",""
"4 persons","Hungary","2001","65 years or over","Total","Number",":",""
"4 persons","Netherlands","2001","65 years or over","Total","Number",":",""
"4 persons","Austria","2001","65 years or over","Total","Number",":",""
"4 persons","Poland","2001","65 years or over","Total","Number",":",""
"4 persons","Portugal","2001","65 years or over","Total","Number",":",""
"4 persons","Romania","2001","65 years or over","Total","Number",":",""
"4 persons","Slovenia","2001","65 years or over","Total","Number",":",""
"4 persons","Slovakia","2001","65 years or over","Total","Number",":",""
"4 persons","Finland","2001","65 years or over","Total","Number",":",""
"4 persons","United Kingdom","2001","65 years or over","Total","Number",":",""
"4 persons","Liechtenstein","2001","65 years or over","Total","Number",":",""
"4 persons","Norway","2001","65 years or over","Total","Number",":",""
"4 persons","Switzerland","2001","65 years or over","Total","Number",":",""
"4 persons or more","Bulgaria","2001","65 years or over","Total","Number",":",""
"4 persons or more","Czechia","2001","65 years or over","Total","Number","28",""
"4 persons or more","Denmark","2001","65 years or over","Total","Number","24",""
"4 persons or more","Germany (until 1990 former territory of the FRG)","2001","65 years or over","Total","Number","0",""
"4 persons or more","Estonia","2001","65 years or over","Total","Number","5",""
"4 persons or more","Ireland","2001","65 years or over","Total","Number","266",""
"4 persons or more","Greece","2001","65 years or over","Total","Number","579",""
"4 persons or more","Spain","2001","65 years or over","Total","Number","6,890",""
"4 persons or more","France","2001","65 years or over","Total","Number","2,117",""
"4 persons or more","Italy","2001","65 years or over","Total","Number","3,854",""
"4 persons or more","Cyprus","2001","65 years or over","Total","Number","111",""
"4 persons or more","Latvia","2001","65 years or over","Total","Number",":",""
"4 persons or more","Lithuania","2001","65 years or over","Total","Number","34",""
"4 persons or more","Luxembourg","2001","65 years or over","Total","Number","24",""
"4 persons or more","Hungary","2001","65 years or over","Total","Number","85",""
"4 persons or more","Netherlands","2001","65 years or over","Total","Number","142",""
"4 persons or more","Austria","2001","65 years or over","Total","Number","229",""
"4 persons or more","Poland","2001","65 years or over","Total","Number","271",""
"4 persons or more","Portugal","2001","65 years or over","Total","Number","873",""
"4 persons or more","Romania","2001","65 years or over","Total","Number","197",""
"4 persons or more","Slovenia","2001","65 years or over","Total","Number","75",""
"4 persons or more","Slovakia","2001","65 years or over","Total","Number","56",""
"4 persons or more","Finland","2001","65 years or over","Total","Number","273",""
"4 persons or more","United Kingdom","2001","65 years or over","Total","Number","1,521",""
"4 persons or more","Liechtenstein","2001","65 years or over","Total","Number","1",""
"4 persons or more","Norway","2001","65 years or over","Total","Number","43",""
"4 persons or more","Switzerland","2001","65 years or over","Total","Number","291",""
"5 persons","Bulgaria","2001","65 years or over","Total","Number",":",""
"5 persons","Czechia","2001","65 years or over","Total","Number",":",""
"5 persons","Denmark","2001","65 years or over","Total","Number",":",""
"5 persons","Germany (until 1990 former territory of the FRG)","2001","65 years or over","Total","Number","0",""
"5 persons","Estonia","2001","65 years or over","Total","Number",":",""
"5 persons","Ireland","2001","65 years or over","Total","Number",":",""
"5 persons","Greece","2001","65 years or over","Total","Number",":",""
"5 persons","Spain","2001","65 years or over","Total","Number",":",""
"5 persons","France","2001","65 years or over","Total","Number",":",""
"5 persons","Italy","2001","65 years or over","Total","Number",":",""
"5 persons","Cyprus","2001","65 years or over","Total","Number",":",""
"5 persons","Latvia","2001","65 years or over","Total","Number",":",""
"5 persons","Lithuania","2001","65 years or over","Total","Number",":",""
"5 persons","Luxembourg","2001","65 years or over","Total","Number",":",""
"5 persons","Hungary","2001","65 years or over","Total","Number",":",""
"5 persons","Netherlands","2001","65 years or over","Total","Number",":",""
"5 persons","Austria","2001","65 years or over","Total","Number",":",""
"5 persons","Poland","2001","65 years or over","Total","Number",":",""
"5 persons","Portugal","2001","65 years or over","Total","Number",":",""
"5 persons","Romania","2001","65 years or over","Total","Number",":",""
"5 persons","Slovenia","2001","65 years or over","Total","Number",":",""
"5 persons","Slovakia","2001","65 years or over","Total","Number",":",""
"5 persons","Finland","2001","65 years or over","Total","Number",":",""
"5 persons","United Kingdom","2001","65 years or over","Total","Number",":",""
"5 persons","Liechtenstein","2001","65 years or over","Total","Number",":",""
"5 persons","Norway","2001","65 years or over","Total","Number",":",""
"5 persons","Switzerland","2001","65 years or over","Total","Number",":",""
"6 persons or more","Bulgaria","2001","65 years or over","Total","Number",":",""
"6 persons or more","Czechia","2001","65 years or over","Total","Number",":",""
"6 persons or more","Denmark","2001","65 years or over","Total","Number",":",""
"6 persons or more","Germany (until 1990 former territory of the FRG)","2001","65 years or over","Total","Number","0",""
"6 persons or more","Estonia","2001","65 years or over","Total","Number",":",""
"6 persons or more","Ireland","2001","65 years or over","Total","Number",":",""
"6 persons or more","Greece","2001","65 years or over","Total","Number",":",""
"6 persons or more","Spain","2001","65 years or over","Total","Number",":",""
"6 persons or more","France","2001","65 years or over","Total","Number",":",""
"6 persons or more","Italy","2001","65 years or over","Total","Number",":",""
"6 persons or more","Cyprus","2001","65 years or over","Total","Number",":",""
"6 persons or more","Latvia","2001","65 years or over","Total","Number",":",""
"6 persons or more","Lithuania","2001","65 years or over","Total","Number",":",""
"6 persons or more","Luxembourg","2001","65 years or over","Total","Number",":",""
"6 persons or more","Hungary","2001","65 years or over","Total","Number",":",""
"6 persons or more","Netherlands","2001","65 years or over","Total","Number",":",""
"6 persons or more","Austria","2001","65 years or over","Total","Number",":",""
"6 persons or more","Poland","2001","65 years or over","Total","Number",":",""
"6 persons or more","Portugal","2001","65 years or over","Total","Number",":",""
"6 persons or more","Romania","2001","65 years or over","Total","Number",":",""
"6 persons or more","Slovenia","2001","65 years or over","Total","Number",":",""
"6 persons or more","Slovakia","2001","65 years or over","Total","Number",":",""
"6 persons or more","Finland","2001","65 years or over","Total","Number",":",""
"6 persons or more","United Kingdom","2001","65 years or over","Total","Number",":",""
"6 persons or more","Liechtenstein","2001","65 years or over","Total","Number",":",""
"6 persons or more","Norway","2001","65 years or over","Total","Number",":",""
"6 persons or more","Switzerland","2001","65 years or over","Total","Number",":",""
